dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1056.09,0.37,25/04/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,26.44,0.3,25/04/2021
3,Angostura,Chiapas,17356.9,13169.63,8678.23,0.66,25/04/2021
4,Infiernillo,Michoacán,11880.78,6054.31,2172.02,0.36,25/04/2021
5,La Yesca,Jalisco,1491.99,1392.02,644.02,0.46,25/04/2021
6,El Caracol,Guerrero,823.39,697.46,557.61,0.8,25/04/2021
7,Zimapán,Hidalgo,769,699,572.65,0.82,25/04/2021
8,La Villita,Michoacán,362.31,221.29,197.2,0.89,25/04/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.36,0.35,25/04/2021
10,El Cajón,Nayarit,1446.1,1335.13,823.53,0.62,25/04/2021
11,Huites,Sinaloa,4069.09,2703.99,7.97,0,25/04/2021
12,Santa Rosa,Jalisco,211.13,195.63,51.58,0.26,25/04/2021
13,Chicoasén,Chiapas,259.56,205.98,176.51,0.86,25/04/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,6395.88,0.69,25/04/2021
15,El Novillo,Sonora,3312.48,2633.58,892.7,0.34,25/04/2021
16,Temascal,Oaxaca,7884.64,6898.19,3024.47,0.44,25/04/2021
17,Peñitas,Chiapas,397.12,215.04,171.21,0.8,25/04/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,4.56,0.29,25/04/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.82,0.19,25/04/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,25/04/2021
21,Guadalupe,Chihuahua,102.89,79.35,28.16,0.35,25/04/2021
22,Vaqueros,Jalisco,12.21,7.36,1.16,0.16,25/04/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,298.41,0.1,25/04/2021
24,Mocuzari,Sonora,1822.14,1039.84,11.85,0.01,25/04/2021
