dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1050.14,0.37,04/05/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,13.21,0.15,04/05/2021
3,Angostura,Chiapas,17356.9,13169.63,8278.46,0.63,04/05/2021
4,Infiernillo,Michoacán,11880.78,6054.31,1949.57,0.32,04/05/2021
5,La Yesca,Jalisco,1491.99,1392.02,536.93,0.39,04/05/2021
6,El Caracol,Guerrero,823.39,697.46,429.42,0.62,04/05/2021
7,Zimapán,Hidalgo,769,699,520.46,0.74,04/05/2021
8,La Villita,Michoacán,362.31,221.29,188.33,0.85,04/05/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.08,0.41,04/05/2021
10,El Cajón,Nayarit,1446.1,1335.13,838.33,0.63,04/05/2021
11,Huites,Sinaloa,4069.09,2703.99,8.91,0,04/05/2021
12,Santa Rosa,Jalisco,211.13,195.63,52.48,0.27,04/05/2021
13,Chicoasén,Chiapas,259.56,205.98,187.27,0.91,04/05/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,6273.86,0.67,04/05/2021
15,El Novillo,Sonora,3312.48,2633.58,854.1,0.32,04/05/2021
16,Temascal,Oaxaca,7884.64,6898.19,2749.64,0.4,04/05/2021
17,Peñitas,Chiapas,397.12,215.04,170.43,0.79,04/05/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,4.52,0.28,04/05/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.8,0.19,04/05/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,04/05/2021
21,Guadalupe,Chihuahua,102.89,79.35,26.8,0.34,04/05/2021
22,Vaqueros,Jalisco,12.21,7.36,0.98,0.13,04/05/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,246.17,0.08,04/05/2021
24,Mocuzari,Sonora,1822.14,950.25,12.05,0.01,04/05/2021
25,Mata De Pinos,Michoacán,18.75,15.68,3.02,0.19,04/05/2021
26,Dique 10 Son.,Sonora,41.16,37.58,34.28,0.91,04/05/2021
27,Las Garzas,Guerrero,133.03,102.5,39.03,0.38,04/05/2021
28,Wilson,Michoacán,28.31,25.34,2.25,0.09,04/05/2021
29,Las Piedras,Jalisco,146.89,124.75,68.36,0.55,04/05/2021
30,Canoas,Durango,57.88,45,35.44,0.79,04/05/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,276.36,0.59,04/05/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.27,0.22,04/05/2021
33,Chihuahua,Chihuahua,35.63,23.38,11.51,0.49,04/05/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,04/05/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.57,0.87,04/05/2021
36,Cointzio,Michoacán,79.23,68.52,36.5,0.53,04/05/2021
37,Hidalgo,Querétaro,76.46,66.08,1.77,0.03,04/05/2021
38,Chilatan,Michoacán,807.15,590.03,255.4,0.43,04/05/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0,0,04/05/2021
40,Corrinchis,Jalisco,29,20,3.94,0.2,04/05/2021
41,Santa Teresa,Sonora,66.33,41.47,1.37,0.03,04/05/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,594.86,0.53,04/05/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,04/05/2021
44,Danxho,Estado de México,32.67,31.05,3.8,0.12,04/05/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,04/05/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,14.26,0.17,04/05/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.19,0.58,04/05/2021
48,Los Arcos,Querétaro,8.04,5.79,0.96,0.17,04/05/2021
49,El Bosque,Michoacán,220.1,202.4,70.68,0.35,04/05/2021
50,El Carrizo,Baja California,44.59,40.87,23.96,0.59,04/05/2021
51,El Cazadero,Zacatecas,44.68,22.18,11.11,0.5,04/05/2021
52,El Centenario,Coahuila,25.71,24.59,13.92,0.57,04/05/2021
53,El Centenario,Querétaro,14.18,9.78,0.42,0.04,04/05/2021
54,El Chique,Zacatecas,192.57,138.91,78.56,0.57,04/05/2021
55,El Cuarenta,Jalisco,38.96,30.63,9.7,0.32,04/05/2021
56,El Estribón,Jalisco,7.74,6.38,5.05,0.79,04/05/2021
57,El Gallo,Guerrero,545.97,400.04,266.88,0.67,04/05/2021
58,El Granero,Chihuahua,824.76,284.38,114.3,0.4,04/05/2021
59,Molinitos,Estado de México,8.7,7.69,0.94,0.12,04/05/2021
60,Piedra Labrada,Veracruz,8.13,2.5,2.08,0.83,04/05/2021
61,El Niagara,Aguascalientes,31.7,16.19,15.15,0.94,04/05/2021
62,El Palote,Guanajuato,17.16,9.64,3.4,0.35,04/05/2021
63,El Potosino,San Luis Potosí,5.2,3.29,0.8,0.24,04/05/2021
64,El Rejón,Chihuahua,7.76,6.53,3.29,0.5,04/05/2021
65,El Rodeo,Morelos,33.14,26.98,1.98,0.07,04/05/2021
66,El Salto,Jalisco,118.54,85,73.57,0.87,04/05/2021
67,El Tigre,Durango,18.56,14,4.12,0.29,04/05/2021
68,El Tintero,Chihuahua,216.7,125.08,21.76,0.17,04/05/2021
69,Ensenada,Baja California,6.34,2.73,0.83,0.31,04/05/2021
70,Endó,Hidalgo,208.65,182.9,81.34,0.44,04/05/2021
71,Las Ánimas,Tamaulipas,654.37,563.44,145.89,0.26,04/05/2021
72,Isla de las Aves o El Salto,Estado de México,12.32,9.93,1.41,0.14,04/05/2021
73,El Bosque,Durango,96.57,73.26,65.09,0.89,04/05/2021
74,Las Tortolas,Durango,383.16,309.24,191.57,0.62,04/05/2021
75,Trujillo,Zacatecas,125.92,95.72,38.51,0.4,04/05/2021
76,El Peaje,San Luis Potosí,9.05,6.69,0.17,0.03,04/05/2021
77,San Antonio,Michoacán,29.79,28.68,3.47,0.12,04/05/2021
78,Bacurato,Sinaloa,2687.07,1618.75,181.21,0.11,04/05/2021
79,Huapango,Estado de México,126.5,121.3,2.88,0.02,04/05/2021
80,Valencia,Jalisco,22.63,21.73,6.65,0.31,04/05/2021
81,La Begoña,Guanajuato,241.41,170.79,24.84,0.15,04/05/2021
82,Punta de Agua,Sonora,29.69,16.16,0.22,0.01,04/05/2021
83,La Gavia,Estado de México,36.3,20.23,11.4,0.56,04/05/2021
84,Santa Teresa,Zacatecas,13.94,9.17,5.75,0.63,04/05/2021
85,El Salto o Elota,Sinaloa,815.59,403.9,62.64,0.16,04/05/2021
86,Agua Puerca,Durango,56.06,30.76,12.93,0.42,04/05/2021
87,Puente Calderón,Jalisco,100,80,11.07,0.14,04/05/2021
88,El Sabinal o El Cajón,Sinaloa,469.2,294.58,52.71,0.18,04/05/2021
89,La Pólvora,Jalisco,56.15,51.68,15.65,0.3,04/05/2021
90,Tayahua,Zacatecas,50.38,31.6,14.19,0.45,04/05/2021
91,El Molinito,Sonora,222.47,121.2,6.52,0.05,04/05/2021
92,La Vega,Jalisco,80,44.04,17.82,0.4,04/05/2021
93,Falcón,Tamaulipas,1607.96,1351.63,42.54,0.03,04/05/2021
